grade,state,county,tract,school_address,school_name,latitude,longitude
9,11,11001,1,"1375 E STREET NE, Washington, District of Columbia 20002",Options PCS,38.895754,-76.9862187
K,11,11001,1,"1900 Evarts St. NE Washington, DC 20018",Langdon EC,38.9249969,-76.9774768
9,11,11001,1,"4501 KANSAS AVENUE NW, Washington, District of Columbia 20011",E.L. Haynes PCS - High School,38.945657,-77.022371
K,11,11001,1,"100 Gallatin St. NE Washington, DC 20011",Mamie D. Lee School,38.9529269,-77.0072497
K,11,11001,1,"5300 BLAINE STREET NE, Washington, District of Columbia 20019",Arts and Technology Academy PCS,38.8922571,-76.9246989
K,11,11001,1,"4810 36th St. NW Washington, DC 20008",Murch ES,38.9527132,-77.0704556
K,11,11001,1,"3101 13th St. NW Washington, DC 20010",Tubman ES,38.92886,-77.0292235
K,11,11001,1,"1250 Constitution Ave. NE Washington, DC 20002",Maury ES,38.8925568,-76.9886234
K,11,11001,1,"1300 ALLISON STREET NW, Washington, District of Columbia 20011",Dorothy I. Height Community Academy PCS - Amos 1,38.9444903,-77.0303622
K,11,11001,1,"1351 NICHOLSON STREET NW, Washington, District of Columbia 20011",Dorothy I. Height Community Academy PCS - Online,38.9604804,-77.031579
K,11,11001,1,"301 53rd St. SE Washington, DC 20019",C.W. Harris ES,38.8838155,-76.9257932
9,11,11001,1,"4400 Iowa Ave. NW Washington, DC 20011",Roosevelt HS @ MacFarland,38.9435311,-77.0278891
K,11,11001,1,"645 MILWAUKEE PLACE SE, Washington, District of Columbia 20032",Friendship PCS - Southeast Academy,38.8476955,-76.9969719
K,11,11001,1,"2120 13TH STREET NW, Washington, District of Columbia 20009",Meridian PCS,38.9185351,-77.0299375
9,11,11001,1,"1001 Monroe St. NE Washington, DC 20017",Luke Moore Alternative HS,38.93199,-76.992102
9,11,11001,1,"800 Euclid St. NW Washington, DC 20001",Benjamin Banneker HS,38.9235819,-77.0239586
9,11,11001,1,"540 55th St. NE Washington, DC 20019","Woodson, H.D. HS",38.8968317,-76.9226764
K,11,11001,1,"100 41ST STREET NE, Washington, District of Columbia 20019",DC Prep PCS - Benning Elementary School,38.8907751,-76.9449133
K,11,11001,1,"1227 4TH STREET NE, Washington, District of Columbia 20002",Two Rivers PCS - 4th Street,38.9067354,-77.0001838
K,11,11001,1,"1125 New Jersey Ave. NW Washington, DC 20001",Walker-Jones EC,38.9045185,-77.0140256
K,11,11001,1,"4130 Albemarle St. NW Washington, DC 20016",Janney ES,38.9474491,-77.0812196
9,11,11001,1,"1200 Clifton St. NW Washington, DC 20009",Cardozo EC,38.92195,-77.0282595
K,11,11001,1,"2725 10th St. NE Washington, DC 20018",Noyes EC,38.9250297,-76.9915985
K,11,11001,1,"1345 POTOMAC AVENUE SE, Washington, District of Columbia 20003",Friendship PCS - Chamberlain Elementary School,38.879337,-76.986715
K,11,11001,1,"2315 18TH PLACE NE, Washington, District of Columbia 20018",Tree of Life PCS,38.9207757,-76.9777081
K,11,11001,1,"4501 KANSAS AVENUE NW, Washington, District of Columbia 20011",E.L. Haynes PCS - Elementary School,38.945657,-77.022371
K,11,11001,1,"4300 13th St. NW Washington, DC 20011",Sharpe Health School,38.94344,-77.03121
K,11,11001,1,"2200 Minnesota Ave. SE Washington, DC 20020",Orr ES,38.8720446,-76.974441
K,11,11001,1,"2959 CARLTON AVENUE NE, Washington, District of Columbia 20018",Friendship PCS - Woodridge Elementary School,38.9296895,-76.966638
K,11,11001,1,"1001 G St. SE Washington, DC 20003",Tyler ES,38.8808013,-76.9921902
9,11,11001,1,"1901 D St. SE Washington, DC 20003",Incarcerated Youth Program,38.8834287,-76.9763775
K,11,11001,1,"1401 Michigan Ave. NE Washington, DC 20017",Brookland EC @ Bunker Hill,38.9420075,-76.9848216
9,11,11001,1,"1601 16th St. SE Washington, DC 20020",Anacostia HS,38.8700237,-76.9829543
K,11,11001,1,"659 G St. NE Washington, DC 20002",Ludlow-Taylor ES,38.8985144,-76.9963992
9,11,11001,1,"1920 BLADENSBURG ROAD NE, Washington, District of Columbia 20002",Washington Mathematics Science Technology PCHS,38.9164261,-76.9737654
K,11,11001,1,"4401 8TH STREET NE, Washington, District of Columbia 20017",Potomac Preparatory PCS,38.9430337,-76.9944091
K,11,11001,1,"705 EDGEWOOD STREET NE, Washington, District of Columbia 20017",City Arts & Prep PCS,38.9236618,-76.9957981
K,11,11001,1,"101 T Street NE Washington, DC 20002",Langley ES,38.915162,-77.005942
9,11,11001,1,"1800 PERRY STREET NE, Washington, District of Columbia 20018",Perry Street Preparatory PCS,38.9362681,-76.9782767
K,11,11001,1,"707 EDGEWOOD STREET NE, Washington, District of Columbia 20017",DC Prep PCS - Edgewood Elementary School,38.9241764,-76.9955558
K,11,11001,1,"1825 8th St. NW Washington, DC 20001",Cleveland ES,38.9150577,-77.0225898
K,11,11001,1,"800 Ingraham St. NW Washington, DC 20011",Truesdell EC,38.9539256,-77.0244158
K,11,11001,1,"2201 18th St. NW Washington, DC 20009",Marie Reed ES,38.9183934,-77.0415722
