combo,Grade,universal_sch_id,tract,school_address,school_name,obs,duration
99.07Plummer ES,K,299,99.07,"4601 Texas Ave. SE Washington, DC 20019",Plummer ES,16,2.4681818
99.07KIPP DC - LEAP Academy PCS,K,129 132 209,99.07,"4801 BENNING ROAD SE, Washington, District of Columbia 20019",KIPP DC - LEAP Academy PCS,8,2.3848484
101Thomson ES,K,326,101,"1200 L St. NW Washington, DC 20005",Thomson ES,7,2.9541667
103Takoma EC,K,324,103,"7010 Piney Branch Rd. NW Washington, DC 20012",Takoma EC,17,2.9126985
104Imagine Southeast PCS,K,159 1116 293,104,"3100 MARTIN LUTHER KING JR AVENUE SE, Washington, District of Columbia 20032",Imagine Southeast PCS,8,2.6240001
"104King, M.L. ES",K,344,104,"3200 6th St. SE Washington, DC 20032","King, M.L. ES",23,3.7773333
104Eagle Academy PCS - Congress Heights,K,117 195 187,104,"3400 WHEELER ROAD SE, Washington, District of Columbia 20032",Eagle Academy PCS - Congress Heights,6,5.4526668
104Friendship PCS - Southeast Academy,K,120 113 197,104,"645 MILWAUKEE PLACE SE, Washington, District of Columbia 20032",Friendship PCS - Southeast Academy,6,3.4706666
105Amidon-Bowen ES,K,203,105,"401 I St. SW Washington, DC 20024",Amidon-Bowen ES,11,2.9095237
106Walker-Jones EC,K,332,106,"1125 New Jersey Ave. NW Washington, DC 20001",Walker-Jones EC,7,5.6363635
106J.O. Wilson ES,K,339,106,"660 K St. NE Washington, DC 20002",J.O. Wilson ES,14,1.9431819
109Leckie ES,K,266,109,"4201 M.L. King Ave. SW Washington, DC 20032",Leckie ES,16,3.1333334
109Patterson ES,K,294,109,"4399 South Capitol Terr. SW Washington, DC 20032",Patterson ES,17,4.2785716
111Burroughs EC,K,220,111,"1820 Monroe St. NE Washington, DC 20018",Burroughs EC,8,5.4636054
111Langdon EC,K,262,111,"1900 Evarts St. NE Washington, DC 20018",Langdon EC,18,4.0248299
111Friendship PCS - Woodridge Elementary School,K,120 365 199,111,"2959 CARLTON AVENUE NE, Washington, District of Columbia 20018",Friendship PCS - Woodridge Elementary School,15,3.6380951
